First,Middle,Last,Gender
Homer,,Simpson,male
Ned,,Flanders,male
Moe,,Szyslak,male
Lisa,, Simpson,female
Bart,,Simpson,male
Marge,,Simpson,female
Krusty,The,Clown,male
Principal,,Skinner,male
Charles,Montgomery,Burns,male
Milhouse,,Van Houten,male
Chief,,Wiggum,male
Abraham,Grandpa,Simpson,male
Sideshow,,Bob,male
Apu,,Nahasapeemapetilon,male
Kent,,Brockman,male
Comic Book,,Guy,male
Edna,,Krabappel,female
Nelson,,Muntz,male
Lenny,,Leonard,male
Mayor,,Quimby,male
Waylon,,Smithers,male
Maggie,,Simpson,female
Groundskeeper,,Willie,male
Barney,,Gumble,male
Selma,,Bouvier,female
Carl,,Carlson,male
Ralph,,Wiggum,male
Patty,,Bouvier,female
Martin,,Prince,male
Professor,John,Frink,male
Snake,,Jailbird,male
Cletus,,Spuckler,male
Rainier,,Wolfcastle,male
Agnes,,Skinner,female
Sideshow,,Mel,male
Otto,,Mann,male
Fat,,Tony,male
Gil,,Gunderson,male
Miss,,Hoover,female
Disco,,Stu,male
Troy,,McClure,male
Lionel,,Hutz,male
Jimbo,,Jones,male
Bumblebee,,Man,male
Hans,,Moleman,male
Helen,,Lovejoy,female
Jasper,,Beardly,male